名字,户型,可住,价格,图片,评价,类型,城市
【俯拾】明代四合院侧院大床房 近王府井/天安门/故宫 地铁东四/灯市口站,1室,宜住2人,￥1485,,"
                                        4.9
                                    ",整租,beijing
早宿 月光投影主题两居套房 首都机场 国展 望京,2室,宜住4人,￥438,,"
                                        5.0
                                    ",整租,beijing
遁舍·山原野｜延庆｜露营烧烤大草坪｜恒温泳池｜玉渡山｜龙庆峡｜KTV投影亲子团建,6室,宜住23人,￥3500,,"
                                        5.0
                                    ",整租,beijing
【早宿】近15号线/国展/首都机场/情侣约会/小清新LOFT一居室,1室,宜住2人,￥398,,"
                                        5.0
                                    ",整租,beijing
北欧轻奢大两居公园环绕/地铁4号线贯穿全北京城/临近大兴机场，车站，机场地铁直达，颐和园，*，西单地,2室,宜住4人,￥170,,"
                                        3.7
                                    ",整租,beijing
十三宿/漠野/（环球影城/露台/私人影院/户外浴缸/可订票/智能门锁/电动马桶/1.5p空调）,5室,宜住2人,￥699,,"
                                        5.0
                                    ",单间出租,beijing
延庆7居 /订平日房送烤全羊/冬奥高山滑雪/世葡园/八达岭/世园会/龙庆峡/烧烤,7室,宜住18人,￥2200,,"
                                        5.0
                                    ",整租,beijing
“拒绝带宠物”含早餐&亲子手工❥十渡誓言玻璃栈道旁“十渡农家别墅”带小院可娱乐烧,6室,宜住19人,￥1288,,"
                                        5.0
                                    ",整租,beijing
延庆玉渡山•龙庆峡•清香圆满小院[恒温泳池•五室两厅],5室,宜住15人,￥2980,,"
                                        5.0
                                    ",整租,beijing
北京亚奥核心鸟巢旁商务大床房短租日租月租,1室,宜住2人,￥499,,"
                                        5.0
                                    ",整租,beijing
近七号线地铁大郊亭站百子湾大成国际公寓,1室,宜住2人,￥452,,"
                                        5.0
                                    ",整租,beijing
近欢乐谷有七号线地铁直达环球影城，百子湾桥边大成国际公寓短租房,1室,宜住2人,￥368,,"
                                        4.8
                                    ",整租,beijing
安贞医院旁鸟巢水立方对外经贸精品短租房两居,2室,宜住4人,￥528,,"
                                        5.0
                                    ",整租,beijing
标准双人间（空调，独卫)近八达岭长城，野生动物园，岔道古城，到八达岭站可免费接。,1室,宜住2人,￥198,,"
                                        5.0
                                    ",整租,beijing
八达岭长城脚下詹家大院 温馨七居,7室,宜住23人,￥2988,,"
                                        5.0
                                    ",整租,beijing
“拒绝带宠物”含早餐&亲子手工❥十渡誓言玻璃栈道旁“十渡农家小院”带小院可娱乐烧,4室,宜住12人,￥888,,"
                                        5.0
                                    ",整租,beijing
距离地铁100米  干净整洁,1室,宜住2人,￥468,,"
                                        5.0
                                    ",整租,beijing
鸟巢北医三院中国音乐学院安贞医院电影学院特惠大床房,1室,宜住2人,￥438,,"
                                        4.9
                                    ",整租,beijing
【归心】【可住三人地铁直达】蒲黄榆-天坛-天安门-北京站、西站、南站直达-,1室,宜住2人,￥268,,"
                                        5.0
                                    ",整租,beijing
古北水镇陈爽短租房阳光家庭房,1室,宜住3人,￥150,,"
                                        4.9
                                    ",整租,beijing
北京陈爽短租房精品三人间,1室,宜住3人,￥150,,"
                                        5.0
                                    ",整租,beijing
古北水镇陈爽短租房精品标准间,1室,宜住2人,￥138,,"
                                        5.0
                                    ",整租,beijing
YoYo别墅轰趴团结聚会一站式7房整租,7室,宜住28人,￥1880,,"
                                        5.0
                                    ",整租,beijing
喵小白的院子•山景阳光房二室二厅独门独院[露天烧烤～欢乐麻将～厨房做饭～宠物友好,2室,宜住6人,￥1200,,"
                                        5.0
                                    ",整租,beijing
国贸/大望路/四惠/地铁一号线/东恒时代中式风格 南向一居室,1室,宜住2人,￥280,,"
                                        5.0
                                    ",整租,beijing
古北水镇  书文民俗五居室整租,5室,宜住12人,￥1898,,"
                                        5.0
                                    ",整租,beijing
【星空●轻奢乡村美墅】巨幕投影 麻将K歌 棋牌茶道 柴锅烧烤 秋千蹦床 山景露台,7室,宜住18人,￥2225,,"
                                        5.0
                                    ",整租,beijing
双层大复式!四室三厅，交通便利，吃喝玩乐一应俱全!快来感受美好的聚会与住宿体验吧,4室,宜住10人,￥1598,,"
                                        4.8
                                    ",整租,beijing
京西古道. 妙𡶶山依山小庐合院别墅二层轰趴,4室,宜住12人,￥1880,,"
                                        5.0
                                    ",整租,beijing
【清雅】【可住五人一室一厅】蒲黄榆-天坛-天安门-北京站、西站、南站直达,1室,宜住5人,￥338,,"
                                        5.0
                                    ",整租,beijing
【这家儿】免费停车/LOFT/美式复古精装/地铁一号线天安门故宫五棵松301医院,3室,宜住4人,￥445,,"
                                        5.0
                                    ",整租,beijing
独栋整院 超大露台可烧烤 团建 亲子 轰趴 聚会 多多小院 近红螺寺 圣泉山,5室,宜住12人,￥1898,,5.0,整租,beijing
【优选】密云希望小镇(金地久)整栋别墅8室/带庭院，户外烧烤，轰趴团建，家庭小聚,8室,宜住18人,￥2558,,"
                                        5.0
                                    ",整租,beijing
【优选】密云水库小镇(金地久)整栋别墅6室/带庭院，户外烧烤，轰趴团建，家庭小聚,6室,宜住13人,￥1980,,"
                                        5.0
                                    ",整租,beijing
【赏心】【独享一居】蒲黄榆-天坛-天安门-北京站、西站、南站直达-,1室,宜住4人,￥338,,"
                                        4.7
                                    ",整租,beijing
【静心】【可住五人独享一居】蒲黄榆-天坛-天安门-北京站西站、南站协和医院,1室,宜住4人,￥298,,"
                                        4.9
                                    ",整租,beijing
【雅舍】【可住5人独立一居】蒲黄榆-天坛-天安门-北京站、西站、南站直达,1室,宜住5人,￥298,,"
                                        4.6
                                    ",整租,beijing
家庭双人间（空调，公卫)近八达岭长城，野生动物园，岔道古城。到长城站可免费接。,1室,宜住2人,￥138,,"
                                        5.0
                                    ",整租,beijing
【漫香】【可住四人一室一厅】蒲黄榆-天坛-天安门-北京站、西站、南站直达-,1室,宜住2人,￥298,,"
                                        5.0
                                    ",整租,beijing
